genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_domain,neighbors
ARHGAP5,0.9335106382978723,0.6217391304347826,1.501450676982592,1.3712702989578247,0.624538004398346,2.110093593597412,2.620584669441533e-05,1,[8]
RTN4,0.9813829787234043,0.8782608695652174,1.117416262902886,2.0181524753570557,1.218662977218628,2.22440505027771,2.6778299477304622e-05,1,[8]
PLPP3,0.9148936170212766,0.6434782608695652,1.4217941345600922,1.4841728210449219,0.6514949798583984,2.2994682788848877,2.7482944885741754e-05,1,[8]
TMBIM6,0.9707446808510638,0.7739130434782608,1.2543330145828353,1.4907408952713013,0.8350945711135864,1.9263871908187866,2.7749949772330212e-05,1,[8]
SHANK1,0.8617021276595744,0.45652173913043476,1.8875379939209727,1.0325483083724976,0.40839827060699463,1.8666586875915527,3.65931633650836e-05,1,[8]
SELENOP,0.949468085106383,0.6173913043478261,1.537870842073719,1.3849475383758545,0.6823917031288147,2.0189061164855957,3.679019530111805e-05,1,[8]
NEFL,0.925531914893617,0.6434782608695652,1.4383266244968373,1.2522234916687012,0.623493492603302,1.8752275705337524,3.685800100097109e-05,1,[8]
TOMM7,0.9840425531914894,0.8739130434782608,1.1260188419604107,1.8295154571533203,1.1821529865264893,1.9104950428009033,3.695052297020888e-05,1,[8]
PPP1R1B,0.8776595744680851,0.508695652173913,1.7253136933987998,1.2304143905639648,0.49851372838020325,2.079028367996216,4.2969816125122305e-05,1,[8]
PSD2,0.9042553191489362,0.5869565217391305,1.540583136327817,1.3478968143463135,0.5819478631019592,2.1510348320007324,4.4962364258385574e-05,1,[8]
TMEM47,0.8031914893617021,0.3695652173913043,2.1733416770963707,1.0195865631103516,0.32377874851226807,2.005328416824341,4.830109964032791e-05,1,[8]
TSC22D4,0.9521276595744681,0.7478260869565218,1.2731939633844631,1.6445643901824951,0.9133774042129517,2.077545166015625,6.472157961971654e-05,1,[8]
ANKS1B,0.9414893617021277,0.7391304347826086,1.27377972465582,1.411070704460144,0.7355996966362,1.9649581909179688,6.711832454163336e-05,1,[8]
ACSBG1,0.9601063829787234,0.8,1.2001329787234043,1.7236608266830444,0.9541693329811096,2.158668279647827,7.372666926354563e-05,1,[8]
EFR3A,0.8643617021276596,0.4608695652173913,1.8755018065034124,1.0631905794143677,0.4167006313800812,1.9088290929794312,9.58156350819083e-05,1,[8]
MALAT1,0.9601063829787234,0.7347826086956522,1.3066536573083218,1.4648059606552124,0.8120470643043518,1.9208329916000366,0.00010623382779050857,1,[8]
PTN,0.9361702127659575,0.6434782608695652,1.4548591144335827,1.3429564237594604,0.6786721348762512,1.9430993795394897,0.00013972587711778926,1,[8]
CDC42EP4,0.8058510638297872,0.4217391304347826,1.9107808729984646,1.083229660987854,0.376779168844223,2.0267844200134277,0.00015572315339667668,1,[8]
